,Speccpu_521.wrf_r_clx,Speccpu_548.exchange2_r_clx,Speccpu_502.gcc_r_clx,Speccpu_525.x264_r_clx,Speccpu_519.lbm_r_clx,Speccpu_520.omnetpp_r_clx,Speccpu_527.cam4_r_clx,Speccpu_557.xz_r_clx,Speccpu_544.nab_r_clx,Speccpu_510.parest_t_clx,Speccpu_526.blender_r_clx,Speccpu_531.deepsjeng_r_clx,Speccpu_554.roms_r_clx,Speccpu_507.cactuBSSN_r_clx,Speccpu_549.fotonik3d_r_clx,Speccpu_523.xalancbmk_r.clx,Speccpu_503.bwaves_r_clx,Speccpu_500.perlbench_r_clx,Speccpu_511.povray_r_clx,Speccpu_538.imagick_r_clx,Speccpu_541.leela_r_clx,Speccpu_508.namd_r_clx,Speccpu_505.mcf_r_clx,CSP_BaiduFeed_5117_skx,CSP_PilotCPU_8260,CSP_BS_VIP_V5_5117_skx(unreleased),CSP_PilotGPU_5118,CSP_PredictService_8260_clx,CSP_ParameterServer_8260_clx,CSP_Viking_HNSW_ICX32C,CSP_Alibaba_search_8163,CSP_Sailer_8260_clx,CSP_Alibaba-RTP-freq-25_2682,CSP_PredictService_icx,CSP_AC_5117_skx,CSP_Viking_IVF_8260_CLX,Enterprise_ArgoDB_ICX8360Y,Enterprise_gbase_clx_8280,Enterprise_ArgoDB_CLX6258R,Enterprise_mdb_clx_8280_2TB_remote_client,Enterprise_icx_hisign_2T_memory,Enterprise_mdb_icx_8360_remote_client_dram_2TB,Enterprise_icx_neusoft_ct,Enterprise_gbase_icx_8360_adjust_uncore,Public_Cassandra_clx,Public_Nodejs_clx,Public_MangoDB_80R20W_Broadwell,Public_MangoDB_ReadOnly_Broadwell,Public_Wordpress_clx,Public_BF16_CPX24C,Public_FP32_CPX24C,Public_GraphDB_clx_8260,Public_SAP_TPCH_clx-sf100-1,Public_HammerDB_clx,Public_SPECjbb_clx_48C,Public_Redis_clx
metric_uncacheable reads per instr,3.06797610390309e-09,1.24636751074019e-09,2.99464401223962e-09,9.15356562255354e-10,7.28730451461293e-09,4.05969268351846e-09,2.35466001051709e-09,1.76308294979361e-09,1.34724033639294e-09,4.37096903538039e-09,1.75106264665311e-09,1.5126559442915e-09,4.57174243009054e-09,3.11619777219841e-09,1.62525441648792e-08,2.2870084450996e-09,1.14791833048651e-08,1.36758302153569e-09,1.02017186674208e-09,8.3023974740914e-10,1.79190055871679e-09,9.96500377904008e-10,4.16979343326631e-09,5.65614338295522e-07,7.2826936522838e-10,9.80323594295358e-07,1.08252671167736e-08,6.79643669029245e-10,4.52631508156148e-10,,1.26406709013714e-08,2.31365452081138e-11,5.97100907347218e-07,,1.18681343083367e-08,1.28481367041895e-09,,4.56503123811368e-06,3.021766838370334e-05,0.00113294186583167,,,,,1.20300414429224e-08,6.28698786421391e-06,1.122513292062e-07,,7.53302317460545e-09,6.07301609116653e-08,9.38068331181281e-08,2.29266990579304e-09,2.27877055110306e-09,3.63347904454281e-07,8.13007077252486e-09,8.94501439849725e-09
metric_streaming stores (full line) per instr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4090342504563e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.60268375661379e-06,0.0,0.0,2.56318466189203e-06,1.24319460664008e-06,0.0,0.000226559166415899,0.0,0.0,0.0,,4.04668604756729e-06,0.0,0.0,,0.00115100611151856,0.0,,0.0,6.884656808475743e-06,0.0,,,,,0.0,0.0,0.000637271686347427,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
metric_streaming stores (partial line) per instr,1.06428103747727e-09,4.46618180778995e-10,1.04579605938483e-09,3.9564397025227e-10,3.02341404059312e-09,1.6404409285393e-09,7.32715586558701e-10,1.29657490285314e-06,5.53438840150055e-10,1.67210932553602e-09,6.11319802351461e-10,5.80261732332852e-10,1.66987584504968e-09,9.63141409101529e-10,6.90600282413845e-09,8.11101844231936e-10,4.97214389168448e-09,5.00792880844038e-10,4.74287766100491e-10,3.46152880135885e-10,7.85664289983258e-10,4.60405424302057e-10,9.18336891704669e-07,1.49398099693056e-07,1.66460876492546e-09,3.46585528875502e-06,3.40564570713974e-09,1.32073867244757e-09,1.68515013370984e-09,,0.0,2.22046157079969e-09,0.0,,8.41338266918813e-06,2.73259928239206e-09,,2.48632416891955e-12,5.100397804791801e-07,2.12465042482344e-10,,,,,1.25706839847157e-09,0.0,7.37953580597434e-10,,0.0,7.52830133137818e-11,0.0,3.05615269476905e-09,2.66299856187479e-11,1.49665804676083e-09,0.0,1.0403387564549e-09
metric_L1D MPI (includes data+rfo w/ prefetches),0.0304421604527119,2.30132158298198e-05,0.0292391961876384,0.00390052814785339,0.0602467537677586,0.039542619490087,0.0324372216842397,0.0127885175728567,0.0114388208972743,0.0578979948123165,0.010712012440013,0.00776952324119358,0.0517094631661747,0.0954813385221948,0.108061421926542,0.0474547607122008,0.0964525810283305,0.00773817887728901,0.0378327257277119,0.00821669585083557,0.00673482837388782,0.0326409286233903,0.0814832606433362,0.0179464122763246,0.0375775036902865,0.0144647057575425,0.0210408774185895,0.0180310830056962,0.0225977610003453,0.0335726987837454,0.00974670663135147,0.0905648296852845,0.0169406725372783,0.0170565031941298,0.0177980666514726,0.0246609732503162,0.007970298703422104,0.0312501389376652,0.007884411466865152,0.043590262155303,0.0934056937940957,0.0388925189442097,0.149321806133466,0.017638735150176,0.0167920967171495,0.0184975479312723,0.0241393221632671,0.0236288087604852,0.018557129125711,0.0362522852007035,0.0568057517380172,0.036429945257642,0.0149958079323935,0.0169585941852335,0.0220246521884077,0.00892885313073754
metric_L1D demand data read hits per instr,0.349290879851747,0.327233100786465,0.266491379212916,0.221181816382121,0.244945667907361,0.296042727122353,0.259421794982891,0.235382590880496,0.356966266617126,0.467347381123467,0.304172265979509,0.223992418478019,0.474241723203006,0.398482238878129,0.406404969938059,0.272218958834203,0.484716418897614,0.292431542267971,0.345325756787818,0.299352876405348,0.280197121492323,0.246557067848269,0.24709346235679,0.286443401831865,0.249466614413887,0.264400568241958,0.214829902776672,0.263914337852469,0.256482091297514,0.29215228682038,0.295977710198684,0.294361061792284,0.268311165147582,0.265588658407371,0.302235880557425,0.278929501841935,0.2862561997921484,0.23263772322992,0.282234421660865,0.282903981482741,0.192256352151251,0.28619329861633,0.210106964780271,0.250887086479686,0.244068079118287,0.27555353451512,0.267759204554345,,0.289342541406237,0.254106789694709,0.296108833686499,0.262187433303869,0.283805564253699,0.233199855935907,0.263404541956245,0.270421240513311
metric_L1-I code read misses (w/ prefetches) per instr,0.00128309338457691,0.000114185840179671,0.0105140973803526,0.00385961871785104,8.16572950162991e-05,0.00101959508714735,0.00356392345099292,0.000185569188841792,2.90092766184279e-05,0.000284870011514141,0.00037120080440197,0.00299925669275846,0.000195383508417538,0.0296896385266557,0.000263373321223888,0.00183315826056254,0.000141391493909575,0.00600598405943554,0.003037777794521,1.79557841692939e-05,0.000139576524635932,1.46982918938922e-05,0.000428491131593991,0.0237965816785271,0.00990360384441461,0.0112204269824465,0.0212082964447692,0.0108075967667436,0.0413079411387552,0.0043517166993776,0.00396664484471097,0.00771358091262556,0.00901292843500197,0.00961219708356917,0.015273759874953,0.00539446611537872,0.00139881099561787,0.0259067150748435,0.001281184251872506,0.155319161302489,1.18760991675081e-05,0.0999369824105315,0.000930819266598633,0.0246386073966574,0.0266151061016178,0.0471875472810157,0.0529441359574526,0.0514737793436128,0.0373185424762223,0.000797762366146745,0.000508617510375756,0.0334243565015731,0.000108218656732297,0.0239294184144233,0.0247604680811193,0.00932242918343592
metric_L2 demand data read hits per instr,0.00833354051226469,1.15256561847322e-05,0.0110083207052196,0.00186261668404539,0.00100520449257642,0.0128996507011201,0.00865304788444376,0.00607073814164579,0.00355267185290373,0.0130288502950471,0.00659032013080368,0.00446994835498608,0.00862002268187894,0.0782969506184832,0.0321307905420037,0.0251670581312803,0.0209514056588496,0.00481399632789715,0.0209637472231335,0.000789015717355127,0.00343295430150432,0.0150061666130519,0.0231239959414372,0.00631205807070042,0.0108440005803789,0.00367720978661727,0.00564211642500995,0.00653557362468001,0.00768127534349669,0.00292429953130049,0.00248397971486425,0.0104031853981155,0.00670915853280361,0.00502553169253753,0.00562058601492325,0.00404782276268726,0.001840545015470529,0.0252875651101703,0.001402478174443359,0.0184038499925203,0.07491250847746,0.0169553425063113,0.0315803859717764,0.0122291964237285,0.00563545928223461,0.00790437080180681,0.0034872931552303,,0.0074307739702044,0.0246739060477982,0.0166132673012467,0.0112611862031706,0.00295508722125433,0.00651289314444075,0.00807008672394013,0.00241551109444391
metric_L2 MPI (includes code+data+rfo w/ prefetches),0.0194669270663673,5.04455443946242e-06,0.0171147196601366,0.000654782732996381,0.0371541255248078,0.0184980592147395,0.0130794683614132,0.00369083262126379,0.00100784326445115,0.0414927207645229,0.00326376524839936,0.0010391231788381,0.0378535878913466,0.0102199781039684,0.0936030605898645,0.0119917470199937,0.0898650368067131,0.00136241069943884,2.40081507759414e-05,0.00021719497210963,0.000665232470122786,0.00084243680290708,0.0598011398215263,0.0125904919793531,0.018411007129003,0.0123128184460869,0.01601410049834,0.0110087788231469,0.0139663829188068,0.026212618096247,0.00983315020338687,0.0305433024473051,0.0115431659690447,0.0104057833746742,0.0121225069310765,0.0226307391883962,0.005482085106477227,0.00137486756906657,0.005667562270497033,0.0301436131857336,0.00112186440625293,0.0166592290828836,0.00692438657180188,0.000433591334140494,0.013488480255323,0.0218210648007394,0.058990679708448,0.0581304350360281,0.0145964881411439,0.0146246469385715,0.0134538349565237,0.0291547249071622,0.00964664800238422,0.0101051147753902,0.0150120594579142,0.00540558791729341
metric_L2 demand data read MPI,0.00155260762971627,1.14566179387057e-06,0.00366378644557806,0.000156306598386991,0.000189702290860102,0.0089213277931587,0.00137166740356614,0.00180154669952355,6.59065784092736e-05,0.00249939476797741,0.00133316579821015,0.000355713878411749,0.0024958000443252,0.00655198538186484,0.0206156625207217,0.00152588540315918,0.00927565931513928,0.000679304046568478,2.90964848215486e-06,2.36538706524674e-05,0.000133140298364543,6.48346535900847e-05,0.0183465678286522,0.00314510251501565,0.00318152981495037,0.00194734106336648,0.00216560816830974,0.00223951819160458,0.00329426511943886,0.0057252951970439,0.00123321028357069,0.00409435125638106,0.00275907359595378,0.00183408068560919,0.00181116051882277,0.00141708144558286,0.0002665405128835938,0.000177658191767202,0.0004729476527526837,0.00688069378817658,7.47616295047795e-05,0.00442466494133054,0.00232367602111138,6.13083945706201e-05,0.00234099850224798,0.00255723724646413,0.00811532561011058,,0.00208556956507023,0.00358493346720754,0.00194425605382283,0.00584192983615714,0.00374474047492458,0.00159003173203052,0.00427621589556614,0.00172106971983547
metric_L2 demand code MPI,0.000366142980399084,7.47595716834824e-07,0.000919169664284818,3.93740461127985e-05,4.38716128422258e-05,0.000237671578830714,0.00146333325797545,3.40164332915884e-05,6.92308896360834e-06,0.000151533005598379,5.15708605249119e-05,2.00858093969107e-05,0.000160068686841737,5.83233873147365e-05,0.000126577584949322,0.000212902996219987,8.7302208324732e-05,0.000115206714489491,2.33340935105294e-06,2.41392287713704e-06,2.04494648008343e-05,1.05087370547917e-05,0.000121653905949669,0.00191847475255238,0.00254827197546392,0.00326384009473885,0.00503717305338913,0.00231904290531064,0.00265454423506964,0.0021067347699407,0.00248496420354136,0.0020365895813834,0.00312235233919237,0.00180236958456517,0.00351256588977891,0.00146126894700987,0.0001899358065982055,2.62727044827603e-05,0.000356078264446933,0.00986715917138429,3.59024019353031e-06,0.00281921112037917,0.000282568555499527,1.63028986325028e-05,0.00562211771517224,0.014362838459876,0.0393315790510495,0.0385313754576864,0.00703161457840592,0.000421663136781227,0.000359423546334247,0.00938778471259806,8.30953383911884e-05,0.00357619046904889,0.00376483472150049,0.000123584291239454
metric_L2 Any local request that HITM in a sibling core (per instr),2.50108983438711e-06,4.20728224502191e-07,2.50611500097228e-05,8.68948359585409e-07,1.57195940122266e-06,4.52074089824875e-07,6.39570350734628e-06,9.3245523291637e-07,1.06032054718043e-06,4.22978673857823e-06,1.00299154467718e-06,3.49158648555074e-07,2.36455504152137e-06,1.8798632642545e-06,1.27411598744254e-05,3.52261631726092e-06,1.28656183072988e-05,1.04574792674673e-06,6.2023966591081e-07,9.52752108348136e-07,5.94099124668626e-07,2.39797648332893e-07,3.57684300164946e-06,0.000763919954469956,0.00115209771467235,0.000146094181448183,0.000599563218008415,0.000286376775477733,0.00208598381196011,0.00013715082940847,7.52302241765596e-05,0.0017602010675414,0.000280927190100693,0.000275245320731652,0.000504448962288265,6.92189667305725e-05,3.449078376753358e-05,0.000192992791839476,0.0001610661286886198,0.000376230026707709,2.55495485512944e-07,0.00081981707765787,3.05288578004141e-05,4.7946739514008e-05,0.000752984858323025,0.000296817436264827,0.000613424572602889,,0.000217363642197769,3.48560301710315e-06,2.46434807865749e-05,0.000666730039631015,1.80805816230596e-05,0.000225312556221035,0.000633179797872072,0.000631835781375934
metric_L2 Any local request that HIT in a sibling core and forwarded(per instr),7.94128302026632e-06,5.16250342218144e-07,2.04695234546835e-05,8.4052596069261e-07,3.50201425050996e-06,5.05212279958657e-06,7.05933678864405e-06,1.37736710236885e-06,4.19720181256077e-07,7.55492830875827e-06,8.63696186454218e-07,4.28192908900645e-07,1.17230122335051e-05,2.38266419052679e-06,1.16469948371468e-05,2.84702268888733e-06,7.29477168375818e-06,7.19853498517242e-07,9.15410663565938e-07,2.74348704586077e-07,5.95344985810018e-07,3.75642081267728e-07,9.46683698861422e-06,0.00106703814066167,0.000578120692677024,0.000129806229254524,0.000328336580114294,0.000146012441614167,0.000538492064296553,7.82418431837829e-05,,0.000492356947016226,,0.000153516071305066,0.000313267073024645,7.81701165047402e-05,4.113053834828555e-05,0.000469836659400973,9.693278996399454e-05,0.000101692034361659,7.57498056201607e-07,0.000190711254618453,4.85601437790138e-06,4.16681013189875e-06,0.000412159955195143,0.00019985279679532,,,8.0681952981354e-05,1.4776012230238e-05,2.50500342276299e-05,0.000322956415332482,0.000126806114506619,0.000253805442616112,0.0005150817858856,0.000203802804116563
metric_L2 all L2 prefetches(per instr),0.0324151551249249,5.55203331969048e-06,0.013632182178294,0.00114260627997015,0.0549886285305669,0.00443669185599113,0.021461955133484,0.0026026582798147,0.00998966684933486,0.0783012248869848,0.00344762741909451,0.00102859010441804,0.0629162424021922,0.00481303200610481,0.106540271258449,0.0318724018477432,0.116815849130134,0.00149854875276249,0.014386518948101,0.007891440009431,0.00236849383256581,0.0234646853773846,0.0469184089924035,,0.0275717781282041,,0.0126165208045344,0.00778871308603559,0.00504675409862042,0.0119692614773871,,0.0808153272137725,,0.0118636444058962,,0.0312516180389143,0.006642354426683231,0.00419803797226882,0.009569401567922003,0.00766578981982449,0.0188443218336806,0.00944405975323976,0.0360894085772823,0.00362474547015427,0.00522660330639184,0.00450836274704848,,,0.00785070454241849,0.022831913716535798,0.065507939547818,0.0097040526645155,0.0044644408551344,0.00709079734179524,0.00619180781507025,0.00246887576728439
metric_L2 % of all lines evicted that are unused prefetches,5.01692776584817,0.323156208731071,8.60999458677621,3.39184324680001,6.08280522604727,5.50474456542232,13.2367231921624,1.67591411473557,10.900743481659,8.18600025023689,10.1007063613388,3.85598451327408,13.583731760632,0.605611136770244,3.16601989418507,20.9063829762447,0.108399955412231,9.20712725901784,2.06012365426793,2.58383879394394,3.46558497362815,11.7175843323586,10.936493347351,3.75253801368477,4.48716040239134,4.88414116217426,4.60085192096499,6.97307196476158,2.5161484142973,4.64171503097383,,3.31032218898403,,6.69633215058031,6.05864954998002,2.78486899469548,3.679431349116001,1.59922517526821,4.058387802467035,2.10678254902292,48.7793831193826,3.3436560271696,0.247875907573424,3.09492765312367,1.28913363003655,1.65477432753349,,,2.59279876782225,1.20205347798766,12.911019934377,1.87721136261896,4.44206349122981,6.85980584697518,3.79463698253685,3.25290128790547
